Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
D15 KEROSINE 20L 12472/99001/4,ENVIRONMENTAL REFUELLING      ,$580.00,2012-06-12,171687,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MINIATURE BULB DOME LIGHT,CDNIS,$28.00,2012-07-24,172059,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PIGTAIL, CONNECTOR FITS ITEMS 16157, 16158",UAP INC                       ,$10.00,2012-07-24,172064,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, LED OVAL BACK-UP",UAP INC                       ,$292.00,2012-07-24,172064,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
6751245 DOOR HINGE & BUSH KIT 14110/47547/061687/1A,UAP INC                       ,$6.00,2012-07-30,172077,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
P206399 EXHAUST ELBOW 14351/56571/061058/1C,UAP INC                       ,$30.00,2012-07-30,172077,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIR AS PER INV # 2760 14067/46117/061839/1A,JODY SHEA O/A                 ,$40.00,2012-07-30,172078,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
9712R BRAKE DRUMS 12142/40217/061498/1A,TERRITORIAL AUTO PARTS        ,$62.00,2012-04-12,171089,,30,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 36"" CURVED CARBIDE 3/4"" HOLES 36"" W/ 3/4"" HOLES FOR CAT GRADERS",INLAND KENWORTH               ,"$8,227.00",2012-04-13,171105,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 48"" CURVED CARBIDE, 5/8"" HOLES 48"" W/ 5/8"" HOLES U/BODY AND GRADERS",INLAND KENWORTH               ,"$17,310.00",2012-04-13,171107,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 48"" CARBIDE GRADER 5/8"" HOLES 7/8 X 5 X 48""",YUCO INDUSTRIAL SUPPLY INC    ,"$13,450.00",2012-04-13,171110,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
NRN33954 BRUSHES 3524/99000/18,CDACKLANDSWH,$12.00,2012-04-16,171115,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ESB 1382F05 SPOOLARC 86 WIRE 11837/99000/1T,CDACKLANDSWH,$708.00,2012-04-16,171115,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, FUEL/WATER SEPARATOR",FINNING INTERNATIONAL INC     ,$189.00,2012-05-28,171523,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2717345 INSULATION 11352/14502/061256/BST,CUBBON BUILDING CENTRE LTD O/A,$68.00,2012-05-28,171528,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
06U756 FITTINGS 13853/T20692/1A,UAP INC                       ,$30.00,2012-05-28,171532,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
58623 WATER PUMP 12182/90129/061384/1A,UAP INC                       ,$81.00,2012-05-28,171532,,26,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PUMP, HYDRAULIC PTO (PAV65) CLOCKWISE(RIGHT)ROTATION PUMP",KEVIN D GALLAGHER O/A         ,"$2,434.00",2012-05-28,171533,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
95988887 O-RING ( 95059168 )07678/T25009/6 HM,INLAND KENWORTH               ,$14.00,2012-05-29,171536,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
K114-20 W/WASHER BOTTLE 03577/T16233/19,INLAND KENWORTH               ,$217.00,2012-06-13,171697,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MD3053-ROY JACKET INFLATABLE PDF ADULT 13811/T60800/6 PN MUSTANG SURVIVAL,WESTERN MARINE LTD            ,$501.00,2012-06-15,171712,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FC1061 FUEL CAP 14322/T20668/1A,WHITEHORSE MOTORS LIMITED     ,$23.00,2012-07-31,172139,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15W40-20 ROTELLA OIL SAE15W40 90776/99001/17,INLAND KENWORTH               ,$350.00,2012-07-31,172140,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
TUBING 14814/SHOP/6 JF DAWSON,DAWSON HARDWARE LTD           ,$10.00,2012-08-29,172147,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SLEEVE 15859/060615/56545/6 JF DAWSON,DAWSON HARDWARE LTD           ,$4.00,2012-08-29,172147,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2J3507 NUT 15264/T25019/6 TC DAWSON,NORTHERN SUPERIOR MECHANICAL  ,$2.00,2012-08-13,172148,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, LICENSE PLATE",UAP INC                       ,$4.00,2012-04-16,171128,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AR58812 FUEL TRANSFER PUMP 5330/52802/60996/24,BRANDT TRACTOR LTD            ,$483.00,2012-04-17,171142,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AR49025 FRONT CRANK SEALS 5330/52802/60996/24,BRANDT TRACTOR LTD            ,$62.00,2012-04-17,171142,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 44"" ONE-WAY PLOW CARBON STEEL 3/4X6X44 SEE ALSO 7427 FOR CARBIDE",INLAND KENWORTH               ,"$2,706.00",2012-05-29,171540,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 12'6"" SNOW WING 5/8X8X150""",INLAND KENWORTH               ,$367.00,2012-05-29,171540,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
501708 cutting disc 11841/99000/1T,CDNIS,$132.00,2012-05-29,171541,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
11589264 STUD EXHAUST MANIFOLD 13359/T20700/6 JF,KLONDIKE MOTORS INC O/A       ,$45.00,2012-05-29,171545,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YQ27 CAP & ROTOR ASSY. DIST. 13790/T74015/11,CDACKLANDSWH,$53.00,2012-05-29,171547,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
WSWTS3850T SOCKET TAMPER PROOF 13551/61294/1800/29 CB,CDACKLANDSWH,$10.00,2012-05-29,171547,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT FOR IDLER PULLEY 9218/T16234/1HD,INLAND KENWORTH               ,$103.00,2012-06-15,171718,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, OIL",UAP INC                       ,$64.00,2012-06-18,171737,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
26810 SPROCKET-16T 10493/54120/061619/1C,INLAND KENWORTH               ,$61.00,2012-07-20,172037,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90-200 ADAPTOR 15903/T21330/29 EB EAGLE,NORTHERN SUPERIOR MECHANICAL  ,$36.00,2012-07-20,172038,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YA512 VEHICLE STAND ADJUSTABLE 12 TON 07166/5300/19,CDSNAPONTOOL,$652.00,2012-07-23,172044,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AW100 CAMERA 07385/CAMP/6 DAWSON,JACQUELINE OLSON O/A          ,$350.00,2012-07-26,172047,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550023685 OIL SAE5W30 85474/99001/16,UAP INC                       ,$192.00,2012-07-23,172049,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
NCP 2681679 PITMAN ARM 13388/T20698/6 JEFF,UAP INC                       ,$111.00,2012-07-23,172049,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BELT,FAN",PACESETTER TRADING COMPANY    ,$42.00,2012-07-24,172053,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT FOR LINE 6 11761/T12046/1HD,PACESETTER TRADING COMPANY    ,$66.00,2012-04-18,171155,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
822166 FUSE HOLDER 10333/32007/060757/1A,UAP INC                       ,$4.00,2012-04-23,171171,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
esn 01015 CARGO NET 1714/CAMP/19,CDACKLANDSWH,$42.00,2012-06-19,171758,,22,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
LIQ-TITE CONDUIT 8347/61058/1E,EECOL ELECTRIC CORP           ,$120.00,2012-06-19,171760,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
4205X12X8 FTG. 13468/99002/6 EB,UAP INC                       ,$45.00,2012-06-21,171772,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CDRHBC2 CAP, BUMP 13751/SHOP/6 TK DAWSON",CDACKLANDSWH,$100.00,2012-04-20,171176,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2601290 UPPER BALL JOINTS 12152/47551/060929/1A,UAP INC                       ,$138.00,2012-04-25,171181,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2601248 UPPER BALL JOINT 13176/47570/061353/1A,UAP INC                       ,$46.00,2012-04-25,171181,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
500428 GRINDING DISC 11523/99000/TR,CDNIS,$100.00,2012-04-23,171183,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BELTS,PACESETTER TRADING COMPANY    ,$51.00,2012-04-23,171191,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
22781372 PLASTIC SKID PLATE 14052/T20539/1A,KLONDIKE MOTORS INC O/A       ,$64.00,2012-06-25,171792,,24,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15137022 EVAP CANNISTER 14052/T20539/1A,KLONDIKE MOTORS INC O/A       ,$178.00,2012-06-25,171792,,25,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LOCK, RETAINER",CDNIS,$8.00,2012-06-25,171806,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, AIR PRIMARY",UAP INC                       ,$56.00,2012-06-25,171814,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TEETH, 966H BUCKET",FINNING INTERNATIONAL INC     ,$690.00,2012-04-23,171209,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
REPLACE DW1279 AS PER INV 6552 11418/T15297/BST,DON COX ENTERPRISES LTD O/A   ,$224.00,2012-06-25,171824,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
5C8315 BULB 9320/T25511/BST,FINNING INTERNATIONAL INC     ,$18.00,2012-06-25,171825,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AT58209 SHAFT 5267/T21318/1HD,BRANDT TRACTOR LTD            ,$106.00,2012-06-26,171830,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3417645 CALL FOLLOWER (INJ) 11706/T23189/1HD,INLAND KENWORTH               ,"$1,212.00",2012-06-26,171832,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3019733 BUSHINGS 6978/T23189/1HD,INLAND KENWORTH               ,$144.00,2012-06-26,171832,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 14455/43096/556966/1A/KC,YUKON TIRE CENTRE INC         ,$20.00,2012-07-10,171834,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AT117253 WIPER 54649/T21312/15,BRANDT TRACTOR LTD            ,$35.00,2012-06-27,171839,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
57010237AC LF HOOD COVER 13206/47649/061308/1A,METRO CHRYSLER LTD            ,$13.00,2012-05-01,171213,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CS1642C GLASSES, SAFETY 07660/SHOP/6 HM DAWSON",NORTHERN SUPERIOR MECHANICAL  ,$50.00,2012-04-24,171217,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
N52-450 CLAMPS 6536/CAMP/15,CDYKPUMP,$8.00,2012-04-24,171218,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
33758 T-STAT 07179/T25020/15,UAP INC                       ,$9.00,2012-06-29,171852,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
H176 5/16 FUEL HOSE 11536/99002/TR,UAP INC                       ,$100.00,2012-06-29,171852,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
580442R FRONT ROTORS 17320/43060/061991/1A,TERRITORIAL AUTO PARTS        ,$78.00,2012-07-05,171862,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CB12750 RELAY 09744/T15292/1HD,INLAND KENWORTH               ,$18.00,2012-04-26,171232,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
HBL PL1BC5 LANTRAK 5FT NON ADHESIVE 08339/7218/1E,EECOL ELECTRIC CORP           ,$40.00,2012-04-27,171240,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
77740-52090 EVAP CHARCOAL CANISTER ASSY 12104/40289/061083/1A,MIC MAC MOTORS (YUKON) LIMITED,$589.00,2012-04-27,171242,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
77706-52020 EVAP VENT VALVE ASSY 12120/40271/061167/1A,MIC MAC MOTORS (YUKON) LIMITED,$77.00,2012-04-27,171242,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIR AS PER INV # 2516 13114/47635/061102/1A,JODY SHEA O/A                 ,$40.00,2012-04-30,171250,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, CHOP SAW 14"" X 3/32 X 1"" MIN 4400 RPM",CDNIS,$110.00,2012-07-04,171877,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ANTIFREEZE, WINDSHIELD WASHER (205L DRUM",UAP INC                       ,$600.00,2012-07-04,171880,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
BUYWC796R WHEEL CHOCK 07157/CMPOVH/19,CDACKLANDSWH,$164.00,2012-07-05,171888,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FAR224D HOSE VALVE 07157/CMPOVH/19,CDACKLANDSWH,$16.00,2012-07-05,171888,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
08U648 FTG. 11498/99002/1T,UAP INC                       ,$176.00,2012-07-06,171903,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TIRE, 1400R24 BANDAG SNOPLUS RECAP BANDAG FULL MOLD",KAL TIRE                      ,"$1,004.00",2012-05-02,171269,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90014058 alternator 10953/T17190/1HD,UAP INC                       ,$213.00,2012-05-03,171280,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90156170 alternator (ITEM 15553) 9216/T25016/2,UAP INC                       ,$196.00,2012-05-03,171280,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
90156170 STARTER CORE 9216/T25017/2,UAP INC                       ,$80.00,2012-05-03,171280,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
OPB12810-12-12 JIC 11005/T21015/1HD,CDYKPUMP,$18.00,2012-07-09,171909,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, TRANSMISSION",INLAND KENWORTH               ,$255.00,2012-07-09,171913,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"15077362 DONUT, EXH 07791/T18499/6 MV DAWSON",KLONDIKE MOTORS INC O/A       ,$17.00,2012-07-09,171916,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FLUID, DIESEL EXHAUST (DEF) DRUM",INLAND KENWORTH               ,$711.00,2013-02-18,174271,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SE501609 PUMP, WTR *P1* 16733/T56533/13 TK OGILVIE",BRANDT TRACTOR LTD            ,$248.00,2013-02-19,174275,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"RE123417 GASKET, WTR PUMP 16733/T56533/6 TK OGILVIE",BRANDT TRACTOR LTD            ,$23.00,2013-02-19,174275,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
152475283 14.00R24 G/Y ASA3 16917/T23173/06/KC,GOODYEAR CANADA INC           ,"$3,830.00",2013-02-19,174276,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3899343 GASKET 18064/t15289/1hd,INLAND KENWORTH               ,$3.00,2013-02-19,174289,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
303666 SEAL 18064/t15289/1hd,INLAND KENWORTH               ,$8.00,2013-02-19,174289,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
K160-2324 PIVOT BELL FOR CLUTCH 18401/T16256/1HD,INLAND KENWORTH               ,$195.00,2013-02-20,174302,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3350X8 FITTINGS 14689/99002/1T,UAP INC                       ,$64.00,2013-03-13,174520,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2113-1 TANK VENT 14676/T11271/1HD,INLAND KENWORTH               ,$31.00,2013-03-15,174540,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TIRE, 11R24.5 BANDAG BDR-HG RECAP",KAL TIRE                      ,$356.00,2013-03-18,174543,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
 GFN1898L18408 11/64 DRILL BIT 14672/99000/1T,CDACKLANDSWH,$18.00,2013-03-18,174556,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ASH-977 REAR SHOCKS 19252/T20541/1A,WHITEHORSE MOTORS LIMITED     ,$106.00,2013-02-20,174310,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
79607 BUSHING 18751/T23192/1HD,INLAND KENWORTH               ,$216.00,2013-02-21,174324,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
1701380 TOOL BOX 18280/T12504/1HD,AJAX STEEL LIMITED            ,$343.00,2013-02-21,174325,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
